creator,products_sold,post_rate_percent,commission_rate_percent,follower_gender,follower_age
felon_entrepreneur,,35%,,male,35-44
kyraoriana,48,8%,15%,female,25-34
thatloalizzy,13,92%,20%,female,35-44
majorhealthdeals,23,23%,25%,female,35-44
jennysepx,71,96%,13%,female,35-44
itsmecarly.b,87,94%,15%,female,35-44
sbinthecityatl,74,89%,12%,female,35-44
zzzuulll,80,72%,12%,female,18-24
cynthiaalovexo,,,10%,,
badbarbiezazaa,152,64%,12%,female,18-24
glamaw22,100,44%,15%,female,25-34
knichole.95,32,87%,15%,female,35-44
michaelascott20,175,33%,14%,female,25-34
withwendywin,1,59%,0%,female,35-44
vonshae_vonshae,91,80%,10%,female,35-44
faithfully_xo,121,90%,15%,female,18-24
cicihaskill,145,86%,15%,female,35-44
yaybay_,20,10%,15%,female,25-34
igobydessy_,28,77%,12%,female,25-34
smalltownerin,39,88%,15%,female,35-44
jan3rzz,33,93%,13%,female,18-24
justanothernurse1,191,91%,15%,female,35-44
k.ricaan,31,89%,13%,female,18-24
riannagail,356,92%,10%,female,25-34
cradeja,43,91%,10%,female,25-34
nikkiyef,134,46%,12%,female,25-34
_keeyah.xo,60,25%,12%,female,25-34
jjbonit93,211,75%,10%,female,25-34
xonajsaaa_,51,18%,12%,female,25-34
kylieoguma,216,75%,12%,female,25-34
pnw.bethany,117,41%,15%,female,35-44
tay_kaedence,39,14%,20%,female,18-24
natalyamakes,73,87%,15%,female,35-44
brookieford,80,60%,12%,female,18-24
miller_taralynn,99,70%,10%,female,35-44
cristinacollabs,16,70%,15%,female,35-44
ashley.courvelle,63,81%,15%,female,35-44
evas.shops,108,61%,13%,male,18-24
applesauceandadhd,109,26%,15%,female,25-34
peytonxblack,183,31%,15%,female,25-34
michellerene,169,94%,15%,female,45-54
certifiedcitygirl69,21,36%,15%,female,18-24
lifesbetterwithkat,323,59%,10%,female,25-34
ruby2smooth,24,12%,10%,female,18-24
makeupartistatlaw,202,87%,15%,female,35-44
imabbysigua,20,18%,20%,female,25-34
zoeyylagoni,75,29%,10%,female,18-24
becomingbethanyofficial,,81%,5%,,
kay_caputo,257,20%,15%,female,25-34
chelseylujan,11,83%,15%,female,25-34
ilovebubbies,162,72%,15%,female,25-34
amyrawles591,56,93%,16%,female,35-44
sellersavvy23,36,82%,23%,female,35-44
kylie_walker,111,85%,12%,female,18-24
thejaynoelle,25,36%,15%,female,25-34
kelseylynnnnn,102,76%,15%,female,25-34
mamarachelandfam,20,45%,15%,female,35-44
_thehamiltons,106,66%,15%,female,35-44
audreysashopaholic,11,60%,20%,female,18-24
kaylawaylamua,18,50%,5%,female,25-34
lorenlovesit,33,91%,12%,female,35-44
annarennsworld,15,17%,14%,female,18-24
itslydiahook,33,89%,15%,female,35-44
alec.lol,49,76%,15%,female,18-24
carebearsbites,23,68%,20%,female,18-24
tanner.selkirk,57,95%,15%,female,18-24
colleen_fusco,139,42%,15%,female,25-34
girlsnpearls,75,95%,15%,female,18-24
nicolemarso,86,42%,15%,female,35-44
chairsh_xoxo,137,93%,15%,female,25-34
chantlycaree,203,36%,15%,female,35-44
i.am.montel,83,90%,12%,female,35-44
lupitv336,111,88%,15%,male,25-34
ellyevercreations,86,86%,12%,female,35-44
krazyreviews0,180,91%,12%,female,35-44
o_m_briii,119,50%,15%,female,35-44
vsalazar16,106,90%,10%,female,25-34
therosemarycn,8,76%,10%,female,18-24
morganchompz,92,85%,15%,female,25-34
puresoulholistichealth,2,23%,15%,female,25-34
michellehouk37,5,91%,15%,female,35-44
createwithrylee,15,92%,15%,female,25-34
earthangelariana,6,45%,20%,female,25-34
chasityforson2,43,82%,10%,female,45-54
